Variable Name,Description,,,
flat_hill,Whether the road is flat or sloped. Possible values include 'Flat or 'Hill'.,,, 
road_character,"The general nature of the road. Possible values include 'Bridge', 'Motorway Ramp', 'Railway Crossing' or  ' Unknown'.",,, 
road_curvature,"The curvature of the road. Possible values include 'Straight Road', 'Easy Curve', 'Moderate Curve' or 'Severe curve'.",,, 
road_lane,"The lane configuration of the road. Possible values : '1' (one way), '2' (two way), 'M' (for where a median exists), 'O' (for off-road lane configuations), ' ' ( for unknown or invalid configuarations).",,, 
road_markings,"The road markings at the crash site. Possible values: 'Ped Crossing' (for pedestrian crossings), 'Raised Island', 'Painted Island', 'No Passing Lanes', 'Centre Line', 'No Marks' or ' Unknown'.",,,
road_surface,The road surface description applying at the crash site. Possible values: 'Sealed' or 'Unsealed'.,,,
road_wet,"The road wetness at the time and place of the crash. Possible values: 'Wet', 'Dry', 'Ice/Snow' or 'Unknown'",,,
num_lanes,The number(num) of lanes on the crash road.,,,
traffic_ctrl,"The traffic control (ctrl) signals at the crash site. Possible values are 'Traffic Signals', 'Stop Sign', 'Give Way Sign', 'Pointsman', 'School Patrol', 'Nil' or ' N/A'.",,,
spd_lim,"The speed (spd) limit (lim)  in force at the crash site at the time of the crash. May be a number, or 'LSZ' for a limited speed zone.",,,
adv_spd,The advisory (adv) speed (spd) at the crash site at the time of the crash.,,,
tmp_spd_lim,The temporary (temp) speed (spd) limit (lim) at the crash site if one exists (e.g. for road works).,,,
urban,"A derived variable using the 'spd_lim' variable. Possible values are 'Urban' (urban, spd_lim < 80) or 'Open Road' (open road, spd_lim >=80 or 'LSZ').",,,
dark_light,"A variable derived from the 'light' variable. Values 'Dark' (if  'light' = 'Dark' or 'Twilight'), 'Light' ( 'light' = 'Bright', 'Overcast') or ' Unknown'  (light = ' ').",,,
light,"The light at the time and place of the crash. Possible values: 'Bright Sun', 'Overcast', 'Twilight, 'Dark' or ' Unknown'.",,,
street_light,"The street lighting at the time of the crash. Possible values 'On', 'Off', 'None' or ' Unknown'.",,,
weather_a,"Indicates weather at the crash time/place. See wthr_b. Values that are possible are 'Fine', 'Mist', 'Light Rain', 'Heavy Rain', 'Snow', 'Unknown'.",,,
weather_b,"The weather at the crash time/place. See weather_a. Values 'Frost', 'Strong Wind' or 'Unknown'.",,,
